treatment,claim_age,ID,text_full,thought,thought_count,thought_clean,age,female,coliving,kids,income,education,numeracy,savings,smoker,politics,benefit_eligible,perc_health,life_expectancy,ethnicity
1.0,67.0,1079189850.0,higher pay out more money to live on be able to stop working sooner                       ,more money to live on,3,money live,48.0,1.0,0.0,4.0,42500,12.0,6.0,17500,1.0,Democrat,0.0,4.0,7.0,white
1.0,67.0,1079189850.0,higher pay out more money to live on be able to stop working sooner                       ,be able to stop working sooner,3,abl stop work sooner,48.0,1.0,0.0,4.0,42500,12.0,6.0,17500,1.0,Democrat,0.0,4.0,7.0,white
0.0,66.0,1079190563.0,health problems will limit life span need the mone no longer can work spouse dies tired of work plan on retiring later do not need social security right after retiring in good physical health in good mental health                 ,health problems will limit life span,9,health problem limit life span,57.0,0.0,1.0,0.0,150000,18.0,4.0,200000,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079190563.0,health problems will limit life span need the mone no longer can work spouse dies tired of work plan on retiring later do not need social security right after retiring in good physical health in good mental health                 ,need the mone,9,need,57.0,0.0,1.0,0.0,150000,18.0,4.0,200000,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079190563.0,health problems will limit life span need the mone no longer can work spouse dies tired of work plan on retiring later do not need social security right after retiring in good physical health in good mental health                 ,no longer can work,9,no longer work,57.0,0.0,1.0,0.0,150000,18.0,4.0,200000,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079190563.0,health problems will limit life span need the mone no longer can work spouse dies tired of work plan on retiring later do not need social security right after retiring in good physical health in good mental health                 ,spouse dies,9,spous die,57.0,0.0,1.0,0.0,150000,18.0,4.0,200000,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079190563.0,health problems will limit life span need the mone no longer can work spouse dies tired of work plan on retiring later do not need social security right after retiring in good physical health in good mental health                 ,tired of work,9,tire work,57.0,0.0,1.0,0.0,150000,18.0,4.0,200000,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079190563.0,health problems will limit life span need the mone no longer can work spouse dies tired of work plan on retiring later do not need social security right after retiring in good physical health in good mental health                 ,plan on retiring later,9,plan retir later,57.0,0.0,1.0,0.0,150000,18.0,4.0,200000,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079190563.0,health problems will limit life span need the mone no longer can work spouse dies tired of work plan on retiring later do not need social security right after retiring in good physical health in good mental health                 ,do not need social security right after retiring,9,not need social secur right retir,57.0,0.0,1.0,0.0,150000,18.0,4.0,200000,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079190563.0,health problems will limit life span need the mone no longer can work spouse dies tired of work plan on retiring later do not need social security right after retiring in good physical health in good mental health                 ,in good physical health,9,good physic health,57.0,0.0,1.0,0.0,150000,18.0,4.0,200000,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079190563.0,health problems will limit life span need the mone no longer can work spouse dies tired of work plan on retiring later do not need social security right after retiring in good physical health in good mental health                 ,in good mental health,9,good mental health,57.0,0.0,1.0,0.0,150000,18.0,4.0,200000,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079190869.0,Can I afford to retire early? How much do I enjoy my present job to keep working until I retire? When do I want to retire? What will I do when I retire? I will be getting more money if I wait to retire. Can I afford to retire now? What will I do when I retire?                   ,Can I afford to retire early?,7,afford retir earli,69.0,0.0,1.0,1.0,42500,12.0,2.0,625000,0.0,Republic,1.0,4.0,3.0,white
0.0,66.0,1079190869.0,Can I afford to retire early? How much do I enjoy my present job to keep working until I retire? When do I want to retire? What will I do when I retire? I will be getting more money if I wait to retire. Can I afford to retire now? What will I do when I retire?                   ,How much do I enjoy my present job to keep working until I retire?,7,much enjoy present job keep work retir,69.0,0.0,1.0,1.0,42500,12.0,2.0,625000,0.0,Republic,1.0,4.0,3.0,white
0.0,66.0,1079190869.0,Can I afford to retire early? How much do I enjoy my present job to keep working until I retire? When do I want to retire? What will I do when I retire? I will be getting more money if I wait to retire. Can I afford to retire now? What will I do when I retire?                   ,When do I want to retire?,7,want retir,69.0,0.0,1.0,1.0,42500,12.0,2.0,625000,0.0,Republic,1.0,4.0,3.0,white
0.0,66.0,1079190869.0,Can I afford to retire early? How much do I enjoy my present job to keep working until I retire? When do I want to retire? What will I do when I retire? I will be getting more money if I wait to retire. Can I afford to retire now? What will I do when I retire?                   ,What will I do when I retire?,7,retir,69.0,0.0,1.0,1.0,42500,12.0,2.0,625000,0.0,Republic,1.0,4.0,3.0,white
0.0,66.0,1079190869.0,Can I afford to retire early? How much do I enjoy my present job to keep working until I retire? When do I want to retire? What will I do when I retire? I will be getting more money if I wait to retire. Can I afford to retire now? What will I do when I retire?                   ,I will be getting more money if I wait to retire.,7,get money wait retir,69.0,0.0,1.0,1.0,42500,12.0,2.0,625000,0.0,Republic,1.0,4.0,3.0,white
0.0,66.0,1079190869.0,Can I afford to retire early? How much do I enjoy my present job to keep working until I retire? When do I want to retire? What will I do when I retire? I will be getting more money if I wait to retire. Can I afford to retire now? What will I do when I retire?                   ,Can I afford to retire now?,7,afford retir,69.0,0.0,1.0,1.0,42500,12.0,2.0,625000,0.0,Republic,1.0,4.0,3.0,white
0.0,66.0,1079190869.0,Can I afford to retire early? How much do I enjoy my present job to keep working until I retire? When do I want to retire? What will I do when I retire? I will be getting more money if I wait to retire. Can I afford to retire now? What will I do when I retire?                   ,What will I do when I retire?,7,retir,69.0,0.0,1.0,1.0,42500,12.0,2.0,625000,0.0,Republic,1.0,4.0,3.0,white
0.0,62.0,1079192024.0,i might be dead by 66 i need the money i would collect more if i waited till i'm 66                       ,i might be dead by 66,3,might 66,65.0,0.0,1.0,3.0,150000,12.0,4.0,112500,1.0,Democrat,1.0,1.0,5.0,white
0.0,62.0,1079192024.0,i might be dead by 66 i need the money i would collect more if i waited till i'm 66                       ,i need the money,3,need money,65.0,0.0,1.0,3.0,150000,12.0,4.0,112500,1.0,Democrat,1.0,1.0,5.0,white
0.0,62.0,1079192024.0,i might be dead by 66 i need the money i would collect more if i waited till i'm 66                       ,i would collect more if i waited till i'm 66,3,collect wait till 66,65.0,0.0,1.0,3.0,150000,12.0,4.0,112500,1.0,Democrat,1.0,1.0,5.0,white
0.0,62.0,1079194779.0,"better to receive benefits early because a health problem may become serious and you will not be able to work anyway collect benefits early because you may die before you reach full age benefits you can receive benefits early and continue to work at another job with reduced amount of pay coming in while receiving benefits collect benefits early because you may be required to stop working and become a caregiver good to receive benefits later because of the increased amount received monthly good to receive benefits later to put you in a different tax bracket because of pay and your age lesser amount of taxes to pay because of the amount of pay coming in better to receive benefits later because if you can keep working, you will feel better and stay physically active for a longer amount of time                  ",better to receive benefits early because a health problem may become serious and you will not be able to work anyway,8,better receiv benefit earli health problem may becom not abl work,65.0,1.0,1.0,1.0,75000,18.0,4.0,200000,0.0,Democrat,1.0,4.0,5.0,white
0.0,62.0,1079194779.0,"better to receive benefits early because a health problem may become serious and you will not be able to work anyway collect benefits early because you may die before you reach full age benefits you can receive benefits early and continue to work at another job with reduced amount of pay coming in while receiving benefits collect benefits early because you may be required to stop working and become a caregiver good to receive benefits later because of the increased amount received monthly good to receive benefits later to put you in a different tax bracket because of pay and your age lesser amount of taxes to pay because of the amount of pay coming in better to receive benefits later because if you can keep working, you will feel better and stay physically active for a longer amount of time                  ",collect benefits early because you may die before you reach full age benefits,8,collect benefit earli may die reach full age benefit,65.0,1.0,1.0,1.0,75000,18.0,4.0,200000,0.0,Democrat,1.0,4.0,5.0,white
0.0,62.0,1079194779.0,"better to receive benefits early because a health problem may become serious and you will not be able to work anyway collect benefits early because you may die before you reach full age benefits you can receive benefits early and continue to work at another job with reduced amount of pay coming in while receiving benefits collect benefits early because you may be required to stop working and become a caregiver good to receive benefits later because of the increased amount received monthly good to receive benefits later to put you in a different tax bracket because of pay and your age lesser amount of taxes to pay because of the amount of pay coming in better to receive benefits later because if you can keep working, you will feel better and stay physically active for a longer amount of time                  ",you can receive benefits early and continue to work at another job with reduced amount of pay coming in while receiving benefits,8,receiv benefit earli continu work anoth job reduc amount pay come receiv benefit,65.0,1.0,1.0,1.0,75000,18.0,4.0,200000,0.0,Democrat,1.0,4.0,5.0,white
0.0,62.0,1079194779.0,"better to receive benefits early because a health problem may become serious and you will not be able to work anyway collect benefits early because you may die before you reach full age benefits you can receive benefits early and continue to work at another job with reduced amount of pay coming in while receiving benefits collect benefits early because you may be required to stop working and become a caregiver good to receive benefits later because of the increased amount received monthly good to receive benefits later to put you in a different tax bracket because of pay and your age lesser amount of taxes to pay because of the amount of pay coming in better to receive benefits later because if you can keep working, you will feel better and stay physically active for a longer amount of time                  ",collect benefits early because you may be required to stop working and become a caregiver,8,collect benefit earli may requir stop work becom,65.0,1.0,1.0,1.0,75000,18.0,4.0,200000,0.0,Democrat,1.0,4.0,5.0,white
0.0,62.0,1079194779.0,"better to receive benefits early because a health problem may become serious and you will not be able to work anyway collect benefits early because you may die before you reach full age benefits you can receive benefits early and continue to work at another job with reduced amount of pay coming in while receiving benefits collect benefits early because you may be required to stop working and become a caregiver good to receive benefits later because of the increased amount received monthly good to receive benefits later to put you in a different tax bracket because of pay and your age lesser amount of taxes to pay because of the amount of pay coming in better to receive benefits later because if you can keep working, you will feel better and stay physically active for a longer amount of time                  ",good to receive benefits later because of the increased amount received monthly,8,good receiv benefit later increas amount receiv month,65.0,1.0,1.0,1.0,75000,18.0,4.0,200000,0.0,Democrat,1.0,4.0,5.0,white
0.0,62.0,1079194779.0,"better to receive benefits early because a health problem may become serious and you will not be able to work anyway collect benefits early because you may die before you reach full age benefits you can receive benefits early and continue to work at another job with reduced amount of pay coming in while receiving benefits collect benefits early because you may be required to stop working and become a caregiver good to receive benefits later because of the increased amount received monthly good to receive benefits later to put you in a different tax bracket because of pay and your age lesser amount of taxes to pay because of the amount of pay coming in better to receive benefits later because if you can keep working, you will feel better and stay physically active for a longer amount of time                  ",good to receive benefits later to put you in a different tax bracket because of pay and your age,8,good receiv benefit later put differ tax pay age,65.0,1.0,1.0,1.0,75000,18.0,4.0,200000,0.0,Democrat,1.0,4.0,5.0,white
0.0,62.0,1079194779.0,"better to receive benefits early because a health problem may become serious and you will not be able to work anyway collect benefits early because you may die before you reach full age benefits you can receive benefits early and continue to work at another job with reduced amount of pay coming in while receiving benefits collect benefits early because you may be required to stop working and become a caregiver good to receive benefits later because of the increased amount received monthly good to receive benefits later to put you in a different tax bracket because of pay and your age lesser amount of taxes to pay because of the amount of pay coming in better to receive benefits later because if you can keep working, you will feel better and stay physically active for a longer amount of time                  ",lesser amount of taxes to pay because of the amount of pay coming in,8,amount tax pay amount pay come,65.0,1.0,1.0,1.0,75000,18.0,4.0,200000,0.0,Democrat,1.0,4.0,5.0,white
0.0,62.0,1079194779.0,"better to receive benefits early because a health problem may become serious and you will not be able to work anyway collect benefits early because you may die before you reach full age benefits you can receive benefits early and continue to work at another job with reduced amount of pay coming in while receiving benefits collect benefits early because you may be required to stop working and become a caregiver good to receive benefits later because of the increased amount received monthly good to receive benefits later to put you in a different tax bracket because of pay and your age lesser amount of taxes to pay because of the amount of pay coming in better to receive benefits later because if you can keep working, you will feel better and stay physically active for a longer amount of time                  ","better to receive benefits later because if you can keep working, you will feel better and stay physically active for a longer amount of time",8,better receiv benefit later keep work feel better stay physic activ longer amount time,65.0,1.0,1.0,1.0,75000,18.0,4.0,200000,0.0,Democrat,1.0,4.0,5.0,white
1.0,63.0,1079195090.0,Benefits at an earlier age is a better deal You like working you need more money when retireing more money received when retiring early.                      ,Benefits at an earlier age is a better deal,4,benefit earlier age better,68.0,0.0,1.0,2.0,42500,14.0,4.0,375000,0.0,Republic,1.0,3.0,5.0,white
1.0,63.0,1079195090.0,Benefits at an earlier age is a better deal You like working you need more money when retireing more money received when retiring early.                      ,You like working,4,like work,68.0,0.0,1.0,2.0,42500,14.0,4.0,375000,0.0,Republic,1.0,3.0,5.0,white
1.0,63.0,1079195090.0,Benefits at an earlier age is a better deal You like working you need more money when retireing more money received when retiring early.                      ,you need more money when retireing,4,need money retir,68.0,0.0,1.0,2.0,42500,14.0,4.0,375000,0.0,Republic,1.0,3.0,5.0,white
1.0,63.0,1079195090.0,Benefits at an earlier age is a better deal You like working you need more money when retireing more money received when retiring early.                      ,more money received when retiring early.,4,money receiv retir earli,68.0,0.0,1.0,2.0,42500,14.0,4.0,375000,0.0,Republic,1.0,3.0,5.0,white
0.0,67.0,1079199450.0,"health reasons tired of working no jobs some people enjoy working can't afford to quit working, need the money                     ",health reasons,5,health reason,49.0,1.0,1.0,2.0,,14.0,1.0,,0.0,Other,0.0,4.0,6.0,white
0.0,67.0,1079199450.0,"health reasons tired of working no jobs some people enjoy working can't afford to quit working, need the money                     ",tired of working,5,tire work,49.0,1.0,1.0,2.0,,14.0,1.0,,0.0,Other,0.0,4.0,6.0,white
0.0,67.0,1079199450.0,"health reasons tired of working no jobs some people enjoy working can't afford to quit working, need the money                     ",no jobs,5,no job,49.0,1.0,1.0,2.0,,14.0,1.0,,0.0,Other,0.0,4.0,6.0,white
0.0,67.0,1079199450.0,"health reasons tired of working no jobs some people enjoy working can't afford to quit working, need the money                     ",some people enjoy working,5,peopl enjoy work,49.0,1.0,1.0,2.0,,14.0,1.0,,0.0,Other,0.0,4.0,6.0,white
0.0,67.0,1079199450.0,"health reasons tired of working no jobs some people enjoy working can't afford to quit working, need the money                     ","can't afford to quit working, need the money",5,not afford quit work need money,49.0,1.0,1.0,2.0,,14.0,1.0,,0.0,Other,0.0,4.0,6.0,white
1.0,65.0,1079200348.0,would rather not work until full retirement age could spend more time with grandchildren                        ,would rather not work until full retirement age,2,rather not work full retir age,49.0,1.0,0.0,3.0,75000,12.0,2.0,37500,0.0,Republic,0.0,3.0,4.0,white
1.0,65.0,1079200348.0,would rather not work until full retirement age could spend more time with grandchildren                        ,could spend more time with grandchildren,2,could spend time grandchildren,49.0,1.0,0.0,3.0,75000,12.0,2.0,37500,0.0,Republic,0.0,3.0,4.0,white
0.0,62.0,1079204465.0,I would like to receive my social security benefits while they are still available We need extra now to cover higher medcial expenses I would get more money                       ,I would like to receive my social security benefits while they are still available,3,like receiv social secur benefit still avail,62.0,1.0,1.0,4.0,75000,12.0,2.0,,0.0,Republic,0.0,3.0,2.0,white
0.0,62.0,1079204465.0,I would like to receive my social security benefits while they are still available We need extra now to cover higher medcial expenses I would get more money                       ,We need extra now to cover higher medcial expenses,3,need extra cover higher expens,62.0,1.0,1.0,4.0,75000,12.0,2.0,,0.0,Republic,0.0,3.0,2.0,white
0.0,62.0,1079204465.0,I would like to receive my social security benefits while they are still available We need extra now to cover higher medcial expenses I would get more money                       ,I would get more money,3,get money,62.0,1.0,1.0,4.0,75000,12.0,2.0,,0.0,Republic,0.0,3.0,2.0,white
0.0,70.0,1079204562.0,You could do things before your health gives out and you are not able to go anywhere. relax and take it easy and enjoy life early. That extra money would help pay the bills. You could save more money on a 401K if you have one with those extra years.                      ,You could do things before your health gives out and you are not able to go anywhere.,4,could thing health give not abl go,48.0,0.0,0.0,0.0,42500,14.0,4.0,10000,0.0,Democrat,0.0,4.0,5.0,white
0.0,70.0,1079204562.0,You could do things before your health gives out and you are not able to go anywhere. relax and take it easy and enjoy life early. That extra money would help pay the bills. You could save more money on a 401K if you have one with those extra years.                      ,relax and take it easy and enjoy life early.,4,relax take easi enjoy life earli,48.0,0.0,0.0,0.0,42500,14.0,4.0,10000,0.0,Democrat,0.0,4.0,5.0,white
0.0,70.0,1079204562.0,You could do things before your health gives out and you are not able to go anywhere. relax and take it easy and enjoy life early. That extra money would help pay the bills. You could save more money on a 401K if you have one with those extra years.                      ,That extra money would help pay the bills.,4,extra money help pay bill,48.0,0.0,0.0,0.0,42500,14.0,4.0,10000,0.0,Democrat,0.0,4.0,5.0,white
0.0,70.0,1079204562.0,You could do things before your health gives out and you are not able to go anywhere. relax and take it easy and enjoy life early. That extra money would help pay the bills. You could save more money on a 401K if you have one with those extra years.                      ,You could save more money on a 401K if you have one with those extra years.,4,could save money 401k one extra year,48.0,0.0,0.0,0.0,42500,14.0,4.0,10000,0.0,Democrat,0.0,4.0,5.0,white
0.0,70.0,1079205066.0,it wouldnt be as much money if i didnt wait until full retirement i wouldnt have enough money to live i would get more money if i waited it would help me financially                      ,it wouldnt be as much money if i didnt wait until full retirement,4,much money wait full retir,49.0,1.0,1.0,3.0,,18.0,2.0,,0.0,Republic,0.0,4.0,7.0,white
0.0,70.0,1079205066.0,it wouldnt be as much money if i didnt wait until full retirement i wouldnt have enough money to live i would get more money if i waited it would help me financially                      ,i wouldnt have enough money to live,4,enough money live,49.0,1.0,1.0,3.0,,18.0,2.0,,0.0,Republic,0.0,4.0,7.0,white
0.0,70.0,1079205066.0,it wouldnt be as much money if i didnt wait until full retirement i wouldnt have enough money to live i would get more money if i waited it would help me financially                      ,i would get more money if i waited,4,get money wait,49.0,1.0,1.0,3.0,,18.0,2.0,,0.0,Republic,0.0,4.0,7.0,white
0.0,70.0,1079205066.0,it wouldnt be as much money if i didnt wait until full retirement i wouldnt have enough money to live i would get more money if i waited it would help me financially                      ,it would help me financially,4,help financi,49.0,1.0,1.0,3.0,,18.0,2.0,,0.0,Republic,0.0,4.0,7.0,white
1.0,70.0,1079208737.0,"more money If I had trouble working, it would be nice to receive benefits early Maybe I won't live long enought to receive benefits later                       ",more money,3,money,50.0,1.0,1.0,0.0,75000,14.0,5.0,10000,1.0,Republic,0.0,3.0,5.0,white
1.0,70.0,1079208737.0,"more money If I had trouble working, it would be nice to receive benefits early Maybe I won't live long enought to receive benefits later                       ","If I had trouble working, it would be nice to receive benefits early",3,troubl work nice receiv benefit earli,50.0,1.0,1.0,0.0,75000,14.0,5.0,10000,1.0,Republic,0.0,3.0,5.0,white
1.0,70.0,1079208737.0,"more money If I had trouble working, it would be nice to receive benefits early Maybe I won't live long enought to receive benefits later                       ",Maybe I won't live long enought to receive benefits later,3,mayb not live long receiv benefit later,50.0,1.0,1.0,0.0,75000,14.0,5.0,10000,1.0,Republic,0.0,3.0,5.0,white
0.0,66.0,1079209317.0,Be able to have more time to myself and do more things while I am younger I might try and work part time somewhere else I could maybe do volunteer work to help others. I would have more money to live on when I get older. I would have something to do to occupy my time. I would feel more useful if I worked.                    ,Be able to have more time to myself and do more things while I am younger,6,abl time thing younger,60.0,1.0,0.0,0.0,42500,12.0,1.0,37500,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079209317.0,Be able to have more time to myself and do more things while I am younger I might try and work part time somewhere else I could maybe do volunteer work to help others. I would have more money to live on when I get older. I would have something to do to occupy my time. I would feel more useful if I worked.                    ,I might try and work part time somewhere else,6,might tri work part time els,60.0,1.0,0.0,0.0,42500,12.0,1.0,37500,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079209317.0,Be able to have more time to myself and do more things while I am younger I might try and work part time somewhere else I could maybe do volunteer work to help others. I would have more money to live on when I get older. I would have something to do to occupy my time. I would feel more useful if I worked.                    ,I could maybe do volunteer work to help others.,6,could mayb volunt work help other,60.0,1.0,0.0,0.0,42500,12.0,1.0,37500,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079209317.0,Be able to have more time to myself and do more things while I am younger I might try and work part time somewhere else I could maybe do volunteer work to help others. I would have more money to live on when I get older. I would have something to do to occupy my time. I would feel more useful if I worked.                    ,I would have more money to live on when I get older.,6,money live get older,60.0,1.0,0.0,0.0,42500,12.0,1.0,37500,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079209317.0,Be able to have more time to myself and do more things while I am younger I might try and work part time somewhere else I could maybe do volunteer work to help others. I would have more money to live on when I get older. I would have something to do to occupy my time. I would feel more useful if I worked.                    ,I would have something to do to occupy my time.,6,someth time,60.0,1.0,0.0,0.0,42500,12.0,1.0,37500,0.0,Republic,0.0,3.0,4.0,white
0.0,66.0,1079209317.0,Be able to have more time to myself and do more things while I am younger I might try and work part time somewhere else I could maybe do volunteer work to help others. I would have more money to live on when I get older. I would have something to do to occupy my time. I would feel more useful if I worked.                    ,I would feel more useful if I worked.,6,feel use work,60.0,1.0,0.0,0.0,42500,12.0,1.0,37500,0.0,Republic,0.0,3.0,4.0,white
0.0,70.0,1079210602.0,"do not want to do not have any still don't have any more money the better living longer, need more money                     ",do not want to,5,not want,54.0,0.0,0.0,0.0,,14.0,4.0,17500,0.0,Republic,0.0,4.0,7.0,white
0.0,70.0,1079210602.0,"do not want to do not have any still don't have any more money the better living longer, need more money                     ",do not have any,5,not,54.0,0.0,0.0,0.0,,14.0,4.0,17500,0.0,Republic,0.0,4.0,7.0,white
0.0,70.0,1079210602.0,"do not want to do not have any still don't have any more money the better living longer, need more money                     ",still don't have any,5,still not,54.0,0.0,0.0,0.0,,14.0,4.0,17500,0.0,Republic,0.0,4.0,7.0,white
0.0,70.0,1079210602.0,"do not want to do not have any still don't have any more money the better living longer, need more money                     ",more money the better,5,money better,54.0,0.0,0.0,0.0,,14.0,4.0,17500,0.0,Republic,0.0,4.0,7.0,white
0.0,70.0,1079210602.0,"do not want to do not have any still don't have any more money the better living longer, need more money                     ","living longer, need more money",5,live longer need money,54.0,0.0,0.0,0.0,,14.0,4.0,17500,0.0,Republic,0.0,4.0,7.0,white
0.0,66.0,1079214469.0,if you had a medical condition that would mean you probably would not live to much more than 66 years old starting at age 66 is in all probability statistically your best bet                        ,if you had a medical condition that would mean you probably would not live to much more than 66 years old,2,medic condit mean probabl not live much 66 year old,56.0,1.0,0.0,3.0,27500,14.0,5.0,10000,0.0,Independ,0.0,3.0,7.0,white
0.0,66.0,1079214469.0,if you had a medical condition that would mean you probably would not live to much more than 66 years old starting at age 66 is in all probability statistically your best bet                        ,starting at age 66 is in all probability statistically your best bet,2,start age 66 probabl best bet,56.0,1.0,0.0,3.0,27500,14.0,5.0,10000,0.0,Independ,0.0,3.0,7.0,white
1.0,70.0,1079230285.0,The longer I can delay receiving benefits the more I would receive up to a certain point. It might be more to my benefit to get part of my deceased husbands benefits since I might not work from age 60-65  as I am currently unemployed and have'nt been able to find a job for 2 years. The only reason would be to be able to pay my bills.                       ,The longer I can delay receiving benefits the more I would receive up to a certain point.,3,longer delay receiv benefit receiv certain point,61.0,1.0,0.0,0.0,10000,14.0,4.0,10000,0.0,Democrat,0.0,3.0,1.0,white
1.0,70.0,1079230285.0,The longer I can delay receiving benefits the more I would receive up to a certain point. It might be more to my benefit to get part of my deceased husbands benefits since I might not work from age 60-65  as I am currently unemployed and have'nt been able to find a job for 2 years. The only reason would be to be able to pay my bills.                       ,It might be more to my benefit to get part of my deceased husbands benefits since I might not work from age 60-65  as I am currently unemployed and have'nt been able to find a job for 2 years.,3,might benefit get part husband benefit sinc might not work age 60 65 current unemploy abl find job 2 year,61.0,1.0,0.0,0.0,10000,14.0,4.0,10000,0.0,Democrat,0.0,3.0,1.0,white
1.0,70.0,1079230285.0,The longer I can delay receiving benefits the more I would receive up to a certain point. It might be more to my benefit to get part of my deceased husbands benefits since I might not work from age 60-65  as I am currently unemployed and have'nt been able to find a job for 2 years. The only reason would be to be able to pay my bills.                       ,The only reason would be to be able to pay my bills.,3,reason abl pay bill,61.0,1.0,0.0,0.0,10000,14.0,4.0,10000,0.0,Democrat,0.0,3.0,1.0,white
0.0,66.0,1079230370.0,"I could begin receiving income next month, rather than waiting, and if anything were to happen, like my death OR like restructure of SS benefits, I'd have received something already. I could get the paperwork over while I'm still pretty alert and cognitive. I can make it on current income and waiting will get me a larger monthly check - better especially if I live a LONG time.                       ","I could begin receiving income next month, rather than waiting, and if anything were to happen, like my death OR like restructure of SS benefits, I'd have received something already.",3,could begin receiv incom next month rather wait anyth happen like death like ss benefit receiv someth alreadi,63.0,1.0,1.0,0.0,75000,16.0,8.0,375000,0.0,Democrat,1.0,4.0,3.0,white
